state,lgc,population,land_size_klm2,senatorial_district,Male,Female
Imo,Unuimo,99368,87.619,C,50779,48589,
Jigawa,Auyo,132268,536.833,B,67409,64859,
Jigawa,Babura,212955,1042.352,C,106373,106582,
Jigawa,Biriniwa,142015,1476.401,B,73864,68151,
Jigawa,Birnin Kudu,314108,1647.988,A,153997,160111,
Jigawa,Buji,97284,571.509,A,48984,48300,
Jigawa,Dutse,251135,1147.246,A,125773,125362,
Jigawa,Gagarawa,82153,685.787,C,41529,40624,
Jigawa,Garki,150261,1476.301,C,74730,75531,
Jigawa,Gumel,106371,234.703,C,54865,51506,
Jigawa,Guri,113363,1112.239,B,58426,54937,
Jigawa,Gwaram,271368,1986.569,A,137785,133583,
Jigawa,Gwiwa,128730,473.468,C,64760,63970,
Jigawa,Hadejia,104286,34.063,B,54171,50115,
Jigawa,Jahun,229882,1225.131,A,113694,116188,
Jigawa,Kafin Hausa,267284,1443.694,B,135012,132272,
Jigawa,Kaugama,128981,925.701,B,64592,64389,
Jigawa,Kazaure,161161,387.026,C,82513,78648,
Jigawa,Kiri Kasamma,192583,835.604,B,98430,94153,
Jigawa,Kiyawa,172952,1075.51,A,87862,85090,
Jigawa,Maigatari,177057,914.565,C,89722,87335,
Jigawa,Malam Madori,164791,803.523,B,85165,79626,
Jigawa,Miga,127876,613.336,A,63067,64809,
Jigawa,Ringim,192407,1106.048,C,95581,96826,
Jigawa,Roni,77414,338.524,C,39618,37796,
Jigawa,Sule-Tankarkar,134813,1347.58,C,65985,68828,
Jigawa,Taura,131861,683.595,C,66107,65754,
Jigawa,Yankwashi,95643,390.324,C,48062,47581,
Kaduna,Birnin-Gwari,258581,6409.27,B,130919,127662,
Kaduna,Chikun,372272,4800.502,B,187433,184839,
Kaduna,Giwa,292384,2145.579,B,145608,146776,
Kaduna,Igabi,430753,3860.97,B,217414,213339,
Kaduna,Ikara,194723,887.176,A,95598,99125,
Kaduna,Jaba,155973,378.712,C,77415,78558,
Kaduna,Jema'A,278202,1707.113,C,140724,137478,
Kaduna,Kachia,252568,4772.2,C,127624,124944,
Kaduna,Kaduna North,364575,74.92,B,187075,177500,
Kaduna,Kaduna South,402731,61.365,B,204969,197762,
Kaduna,Kagarko,239058,1915.863,C,121041,118017,
Kaduna,Kajuru,109810,2904.298,B,54506,55304,
Kaduna,Kaura,174626,499.102,C,88565,86061,
Kaduna,Kauru,221276,2545.844,C,111119,110157,
Kaduna,Kubau,280704,2598.386,A,141528,139176,
Kaduna,Kudan,138956,415.758,A,71704,67252,
Kaduna,Lere,339740,2230.498,A,170396,169344,
Kaduna,Makarfi,146574,562.39,A,73292,73282,
Kaduna,Sabon-Gari,291358,273.779,A,149111,142247,
Kaduna,Sanga,151485,1289.433,C,76482,75003,
Kaduna,Soba,291173,2317.993,A,145145,146028,
Kaduna,Zangon-Kataf,318991,2748.78,C,161870,157121,
Kaduna,Zaria,406990,311.257,A,210900,196090,
Kano,Ajingi,172610,746.28,C,86605,86005,
Kano,Albasu,187639,415.203,C,94862,92777,
Kano,Bagwai,161533,423.676,B,83511,78022,
Kano,Bebeji,191916,746.777,C,97351,94565,
Kano,Bichi,278309,640.858,B,139346,138963,
Kano,Bunkure,174467,508.183,C,87185,87282,
Kano,Dala,418759,19.926,A,237943,180816,
Kano,Dambatta,210474,767.455,B,105538,104936,
Kano,Dawakin Kudu,225497,401.149,A,116109,109388,
Kano,Dawakin Tofa,246197,501.377,B,126390,119807,
Kano,Doguwa,150645,1527.783,C,77849,72796,
Kano,Fagge,200095,21.657,A,111859,88236,
Kano,Gabasawa,211204,633.516,B,107869,103335,
