state,lgc,population,land_size_klm2,senatorial_district,Male,Female,lgc_value,lgc_faac_per_capita,lgc_rank,prev_month_lgc,current_month_lgc,,,
Benue,Gwer East,168660,2334.054,B,85287,83373,91492752.11,542.4685883,150,157251505.4,171717112.7,
Benue,Gwer West,122313,1114.241,B,61764,60549,78624525.43,642.8141361,369,137648920.5,149856733,
Benue,Katsina-Ala,225471,2441.891,A,114093,111378,99323054.35,440.5136552,92,173963906.5,189469395.2,
Benue,Konshisha,226492,1699.9,A,114192,112300,93970869.12,414.8970786,124,168243892.4,182640457.8,
Benue,Kwande,248642,2933.664,A,125442,123200,107590373.6,432.7119858,54,186199217.2,203180279.5,
Benue,Logo,169570,1433.532,A,86069,83501,82623069.72,487.2505144,284,148284515.6,160876646.2,
Benue,Makurdi,300377,835.624,B,154138,146239,99249726.7,330.4171981,93,183591990,198404686.9,
Benue,Obi,98707,429.192,C,49143,49564,73316170.25,742.7656625,511,128738411.4,140072377.5,
Benue,Ogbadibo,130988,607.076,C,64847,66141,77020188.2,587.99423,415,136772643.6,148589529.9,
Benue,Ohimini,70688,642.524,C,35876,34812,70251804.49,993.8292849,592,121734152.2,132693548.9,
Benue,Oju,168491,1301.755,C,84220,84271,88889993.74,527.5652334,189,155288026,169157251.2,
Benue,Okpokwu,175596,742.555,C,89193,86403,83298956.74,474.3784411,268,150035974.3,162696300.4,
Benue,Oturkpo,266411,1290.827,C,136612,129799,97558411.39,366.1951323,103,176971285.6,191769559.8,
Benue,Tarka,79280,377.679,B,39783,39497,67615564.3,852.8703872,642,119924169.3,130267033.4,
Benue,Ukum,216983,1541.565,A,108728,108255,92452339.04,426.081025,136,165417138.1,179583118.8,
Benue,Ushongo,191935,1247.527,A,96062,95873,90022518.82,469.0260704,171,158943714.9,172876882.4,
Benue,Vandeikya,234567,945.087,A,117449,117118,95349776.35,406.4927136,117,170344534.8,184983028.9,
Borno,Abadam,100065,4172.272,A,53749,46316,80074716.84,800.2270208,330,144400201.7,156491797.7,
Borno,Askira/Uba,143313,2431.83,C,72676,70637,77429325.91,540.2812439,402,146531253.9,157717601.8,
Borno,Bama,270119,5158.866,B,136524,133595,108629989.9,402.1560494,49,198740612,215204474.3,
